rank,artist,spotify_id,listeners,daily_change_listeners,peak_listeners
3505,NFL,1oj9F8x44ah5gxYecEj8ch,"4,107,425","25,024","4,107,425"
3506,Destroy Lonely,1HPW4jeRjXBFRoUnSvBzoD,"4,107,151","5,015","5,571,073"
3507,Little Simz,6eXZu6O7nAUA5z6vLV8NKI,"4,105,207","10,862","12,740,528"
3508,Nafeesisboujee,59oBQlP5xoa5cfPkonNNnT,"4,101,803",-921,"5,925,581"
3509,MC LyC4N,4fVQieL685dgYwFDrcYxsz,"4,100,638","-16,286","5,754,692"
3510,MHD,4WnAHZz1pgl8hus8hidIRV,"4,099,900","-2,259","5,922,871"
3511,Kizz Daniel,1X6cBGnXpEpN7CmflLKmLV,"4,099,815","-1,615","5,165,824"
3512,OÄuzhan KoÃ§,1nFJWl30l3PAHei86OxN0i,"4,098,603","99,950","4,595,302"
3513,Sash!,5XTxV2ifoYkmNb13Gb6cKz,"4,096,911","15,409","8,199,995"
3514,Dayglow,6eJa3zG1QZLRB3xgRuyxbm,"4,096,528","17,453","6,472,359"
3515,Desiigner,7pFeBzX627ff0VnN6bxPR4,"4,093,975","-10,086","5,773,731"
3516,Sweta Chauhan,4TsNgxbxmdUsKIFtqvzRPa,"4,092,085","-28,926","5,197,973"
3517,PolimÃ¡ Westcoast,768O5GliF0bqscyghggrbE,"4,091,763","6,870","14,509,409"
3518,Sagar,6CWBs7ul78QwnBrcOCwhf5,"4,091,667","-36,424","4,494,724"
3519,Wali,5pnSNZZRyYViu2n58Zlw1J,"4,087,798","-4,270","4,099,090"
3520,Achille Lauro,0lI3rF4hi4op6UxqlLHPzv,"4,086,941","28,130","5,495,361"
3521,Barry Manilow,3alW3LYQS8K29z8C8NSLIX,"4,086,928","41,157","6,568,590"
3522,Blaiz Fayah,2WyypmYjOdaXg0bXDP67j7,"4,086,738","12,689","5,583,686"
3523,Palm Monkey,2M3sfEXSEDYBurdjeExx6G,"4,084,878","67,061","4,084,878"
3524,Sabat Batin,3Q10GP2eLMD5yS7sczpwju,"4,084,310","-48,200","5,640,054"
3525,CHVRCHES,3CjlHNtplJyTf9npxaPl5w,"4,081,323","13,981","5,098,789"
3526,New Constellations,5WF5jtgP0H31QTl5g4WxW9,"4,079,068","7,786","4,430,865"
