artist_spotify_id,artist,song_title,song_image_url,release_year_songs,genre,language,streams_songs,weekly_gain_songs
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,Closer,https://i.scdn.co/image/ab67616d000048517c3b8acbb943c8da17364f34,2016,Electronic,English,3630971021,1406349
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,Yellow,https://i.scdn.co/image/ab67616d000048519164bafe9aaa168d93f4816a,2000,Alternative,English,3628850968,1990770
4IWBUUAFIplrNtaOHcJPRM,James Arthur,Say You Won't Let Go,https://i.scdn.co/image/ab67616d0000485120beb61f61fcbeb33b10a9ab,2016,Pop,English,3544621683,860979
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,Something Just Like This,https://i.scdn.co/image/ab67616d000048510c13d3d5a503c84fcc60ae94,2017,Electronic,English,3543682283,1287392
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,Birds Of A Feather,https://i.scdn.co/image/ab67616d0000485171d62ea7ea8a5be92d3c1f62,2024,Pop,English,3542428988,2698054
10exVja0key0uqUkk6LJRT,Vance Joy,Riptide,https://i.scdn.co/image/ab67616d00004851a9929deb093a6617d2493b03,2013,Folk,English,3541197020,1622473
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,Die With A Smile,https://i.scdn.co/image/ab67616d00004851b0860cf0a98e09663c82290c,2024,Rock,English,3494303184,2947225
2txHhyCwHjUEpJjWrEyqyX,Tom Odell,Another Love,https://i.scdn.co/image/ab67616d000048519adb17697c5a5bb02b5cebb7,2012,Alternative,English,3465733233,1451221
2NjfBq1NflQcKSeiDooVjY,Tones And I,Dance Monkey,https://i.scdn.co/image/ab67616d00004851aa1beea495a0070294c30e31,2019,Pop,English,3404958195,544129
2FXC3k01G6Gw61bmprjgqS,Hozier,Take Me To Church,https://i.scdn.co/image/ab67616d000048517a9bf5f82e32d33d4503fe7b,2013,Rock,English,3381123787,1252595
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,Counting Stars,https://i.scdn.co/image/ab67616d000048519e2f95ae77cf436017ada9cb,2013,Pop,English,3371652325,1431939
5NGO30tJxFlKixkPSgXcFE,The Police,Every Breath You Take,https://i.scdn.co/image/ab67616d00004851c8e97cafeb2acb85b21a777e,1983,Rock,English,3343280615,2512162
246dkjvS1zLTtiykXe5h60,Post Malone,Rockstar,https://i.scdn.co/image/ab67616d00004851b1c4b76e23414c9f20242268,2017,Hip-hop,English,3341475992,649517
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,Photograph,https://i.scdn.co/image/ab67616d0000485113b3e37318a0c247b550bccd,2014,Pop,English,3332034397,1428919
06HL4z0CvFAxyc27GXpf02,Taylor Swift,Cruel Summer,https://i.scdn.co/image/ab67616d00004851e787cffec20aa2a396a61647,2019,Pop,English,3270455340,1173444
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,Señorita,https://i.scdn.co/image/ab67616d00004851c820f033bd82bef4355d1563,2019,Pop,English,3263536994,792414
3JhNCzhSMTxs9WLGJJxWOY,Macklemore,Can't Hold Us,https://i.scdn.co/image/ab67616d00004851938f1c0cc7d36a671ed226a7,2011,Hip-hop,English,3235356043,1358262
6KImCVD70vtIoJWnq6nGn3,Harry Styles,Watermelon Sugar,https://i.scdn.co/image/ab67616d0000485125180571abce9472f61bd722,2019,Pop,English,3223972037,1054343
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,Viva La Vida,https://i.scdn.co/image/ab67616d00004851121b47fdc79958a05e67fb17,2008,Alternative,English,3220282548,1613960
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,Die For You,https://i.scdn.co/image/ab67616d000048514718e2b124f79258be7bc452,2016,Pop,English,3179921231,1266286
2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,Iris,https://i.scdn.co/image/ab67616d00004851eda9478c39a21e1cdc6609ca,1998,Rock,English,3177414895,2685953
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,Don't Start Now,https://i.scdn.co/image/ab67616d000048512172b607853fa89cefa2beb4,2019,Pop,English,3173926709,894762
