rank,artist,spotify_id,listeners,daily_change_listeners,peak_listeners
278,Sean Kingston,6S0dmVVn4udvppDhZIWxCr,25997135,-73144,26464664
279,ManÃ¡,7okwEbXzyT2VffBmyQBWLz,25946119,18545,25946119
280,Keyshia Cole,1vfezMIyCr4XUdYRaKIKi3,25943130,440124,25943130
281,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,25909312,-2471,34463168
282,Prince Royce,3MHaV05u0io8fQbZ2XPtlC,25904692,-9890,26009581
283,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,25897841,165609,35310315
284,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,25887399,72230,25902758
285,Burna Boy,3wcj11K77LjEY1PkEazffa,25867293,-59345,26035755
286,El Bogueto,3S9Hg7sRKhmtWunFZ2yAYP,25719607,69413,26900751
287,Sade,47zz7sob9NUcODy0BTDvKx,25643799,58266,25643799
288,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,25582888,-47321,27175455
289,Manoj Muntashir,4cAERazLlAzVGA10ORWaUP,25530190,-149248,28528462
290,Jess Glynne,4ScCswdRlyA23odg9thgIO,25522828,88683,28123599
291,System Of A Down,5eAWCfyUhZtHHtBdNk56l1,25446821,8516,25446821
292,Kapo,3UTF2no3muGdiFXVujl94i,25441482,18704,25510155
293,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,25369738,-19643,31720053
294,BTS,3Nrfpe0tUJi4K4DXYWgMUX,25325171,-78690,40741916
295,Evanescence,5nGIFgo0shDenQYSE0Sn7c,25302203,13191,25302203
296,G-Eazy,02kJSzxNuaWGqwubyUba0Z,25254206,34973,26847604
297,Central Cee,5H4yInM5zmHqpKIoMNAx4r,25212307,-2959,40321501
298,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,25070659,16112,35834865
299,Rema,46pWGuE3dSwY3bMMXGBvVS,25036638,-57548,40010586
300,AFROJACK,4D75GcNG95ebPtNvoNVXhz,24984268,153279,27381701
301,Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,24892422,2060,26637953
302,Lola Young,67FB4n52MgexGQIG8s0yUH,24845379,-94583,45503184
303,Kumaar,0m3D4grap8VFSzbJMqgNVk,24842022,-76147,26685656
304,Laufey,7gW0r5CkdEUMm42w9XpyZO,24821432,104446,47315391
305,Steve Lacy,57vWImR43h4CaDao012Ofp,24820453,84284,31029345
306,Himesh Reshammiya,0sSxphmGskGCKlwB9xa6WU,24743168,-137452,26017575
307,Lily-Rose Depp,1pBLC0qVRTB5zVMuteQ9jJ,24725059,-103695,32569522
308,Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,24698249,33264,35668411
309,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,24549516,-23280,25813321
310,Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,24433750,112058,26993550
311,Oscar Maydon,3l9G1G9MxH6DaRhwLklaf5,24425277,18897,28881483
312,Shaggy,5EvFsr3kj42KNv97ZEnqij,24416224,25899,24530633
313,Kings of Leon,2qk9voo8llSGYcZ6xrBzKx,24413460,53660,24493486
314,Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,24387780,-192662,30677179
315,Sayeed Quadri,2pGRniGOJSOvYoK3dGaBb8,24379021,-156825,25878158
